Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,199.94,1283,39487
2,4,197.81,1004,34460
3,7,199.98,1031,34780
4,15,199.53,994,33765
5,29,199.83,1062,36647
6,337,200,1263,38570
1,2,199.94,1320,40880
2,4,199.67,1212,35691
3,7,199.41,953,33870
4,14,199.9,886,32840
5,27,199.93,944,32552
6,379,200,1214,40177
1,2,199.77,1394,39086
2,4,199.98,1005,34976
3,7,199.45,1109,32504
4,15,199.93,975,32844
5,30,199.83,1003,32562
6,351,199.99,1184,37193
1,2,198.42,1302,37628
2,4,199.87,1249,37254
3,7,199.44,1048,36179
4,14,199.98,943,34326
5,29,199.95,1034,34101
6,328,199.98,1230,39258
1,2,198.42,1345,38865
2,3,199.78,1018,32641
3,7,199.86,1198,37079
4,15,200,1077,37111
5,28,199.93,1052,35687
6,376,200,1344,40751
1,2,199.94,1363,38197
2,4,199.13,1095,35983
3,8,199.85,952,32485
4,15,199.99,1060,34785
5,28,199.86,952,34599
6,340,199.99,1343,40334
1,2,199.94,1305,38684
2,4,199.58,1046,32765
3,7,198.94,870,32292
4,14,199.93,959,36779
5,30,199.84,1032,37263
6,292,200,1373,38900
1,2,199.94,1381,38624
2,4,199.43,1205,37676
3,7,198.74,1172,36990
4,14,199.4,1072,33300
5,29,199.99,1115,38064
6,447,199.99,1223,40741
1,2,198.62,1336,40500
2,4,199.48,1178,35605
3,8,199.71,748,24579
4,14,199.82,1051,35902
5,28,199.99,1045,35179
6,317,200,1168,37666
